size,threads,run,time_ms
256,2,1,8.371
256,2,2,8.504
256,2,3,8.562
256,2,4,8.321
256,2,5,8.29
256,2,6,8.151
256,2,7,8.169
256,2,8,8.156
256,2,9,8.218
256,2,10,8.345
256,2,11,8.048
256,2,12,8.178
256,2,13,8.075
256,2,14,8.149
256,2,15,8.155
256,2,16,8.108
256,2,17,8.232
256,2,18,8.123
256,2,19,8.206
256,2,20,8.23
256,2,21,8.312
256,2,22,8.163
256,2,23,8.354
256,2,24,8.055
256,2,25,8.241
256,2,26,8.199
256,2,27,8.093
256,2,28,8.113
256,2,29,8.171
256,2,30,8.265
256,2,31,8.111
256,2,32,8.139
256,2,33,8.15
256,2,34,8.207
256,2,35,8.279
256,2,36,8.196
256,2,37,8.04
256,2,38,8.31
256,2,39,8.19
256,2,40,8.155
# avg_ms=8.20835
# std_ms=0.113700585209237
