size,threads,run,time_ms
256,2,1,19.654
256,2,2,24.8
256,2,3,22.959
256,2,4,30.321
256,2,5,24.479
256,2,6,23.048
256,2,7,17.352
256,2,8,17.249
256,2,9,17.257
256,2,10,17.327
256,2,11,16.921
256,2,12,17.068
256,2,13,17.109
256,2,14,17.246
256,2,15,17.456
256,2,16,17.157
256,2,17,17.499
256,2,18,17.486
256,2,19,16.911
256,2,20,18.549
256,2,21,16.436
256,2,22,16.624
256,2,23,17.327
256,2,24,17.357
256,2,25,16.966
256,2,26,17.35
256,2,27,17.917
256,2,28,17.36
256,2,29,17.225
256,2,30,17.252
256,2,31,17.019
256,2,32,16.886
256,2,33,16.802
256,2,34,16.493
256,2,35,16.502
256,2,36,16.666
256,2,37,16.492
256,2,38,16.389
256,2,39,16.571
256,2,40,17.121
# avg_ms=18.165075
# std_ms=2.89131680928719
