size,threads,run,time_ms
128,1,1,2.287
128,1,2,2.322
128,1,3,2.26
128,1,4,2.261
128,1,5,2.357
128,1,6,2.26
128,1,7,2.261
128,1,8,2.26
128,1,9,2.337
128,1,10,2.262
128,1,11,2.277
128,1,12,2.319
128,1,13,2.263
128,1,14,2.261
128,1,15,2.26
128,1,16,2.262
128,1,17,2.261
128,1,18,2.263
128,1,19,2.274
128,1,20,2.276
128,1,21,2.262
128,1,22,2.264
128,1,23,2.275
128,1,24,2.26
128,1,25,2.303
128,1,26,2.3
128,1,27,2.266
128,1,28,2.261
128,1,29,2.261
128,1,30,2.273
128,1,31,2.292
128,1,32,2.268
128,1,33,2.275
128,1,34,2.273
128,1,35,2.269
128,1,36,2.263
128,1,37,2.284
128,1,38,2.269
128,1,39,2.277
128,1,40,2.297
# avg_ms=2.276875
# std_ms=0.0229605989156229
