size,threads,run,time_ms
256,4,1,16.801
256,4,2,16.236
256,4,3,16.164
256,4,4,12.11
256,4,5,13.738
256,4,6,7.993
256,4,7,7.243
256,4,8,11.342
256,4,9,14.181
256,4,10,11.391
256,4,11,11.428
256,4,12,14.856
256,4,13,8.728
256,4,14,8.289
256,4,15,7.079
256,4,16,17.295
256,4,17,16.027
256,4,18,6.891
256,4,19,13.367
256,4,20,8.368
256,4,21,6.722
256,4,22,7.288
256,4,23,8.269
256,4,24,15.167
256,4,25,13.944
256,4,26,10.896
256,4,27,15.225
256,4,28,15.768
256,4,29,7.464
256,4,30,16.032
256,4,31,7.05
256,4,32,10.674
256,4,33,10.859
256,4,34,15.808
256,4,35,12.99
256,4,36,8.822
256,4,37,15.471
256,4,38,14.218
256,4,39,16.661
256,4,40,14.891
# avg_ms=12.09365
# std_ms=3.53910720706182
