size,threads,run,time_ms
64,2,1,234
64,2,2,226
64,2,3,224
64,2,4,241
64,2,5,381
64,2,6,218
64,2,7,559
64,2,8,478
64,2,9,234
64,2,10,457
64,2,11,463
64,2,12,480
64,2,13,486
64,2,14,283
64,2,15,351
64,2,16,269
64,2,17,282
64,2,18,237
64,2,19,213
64,2,20,205
64,2,21,297
64,2,22,477
64,2,23,261
64,2,24,173
64,2,25,249
64,2,26,170
64,2,27,187
64,2,28,361
64,2,29,484
64,2,30,173
64,2,31,177
64,2,32,189
64,2,33,478
64,2,34,383
64,2,35,177
64,2,36,233
64,2,37,218
64,2,38,251
64,2,39,488
64,2,40,318
# avg_ms=306.625
# std_ms=117.897105834293
