size,threads,run,time_ms
512,2,1,391.018
512,2,2,370.657
512,2,3,389.274
512,2,4,392.324
512,2,5,382.783
512,2,6,374.447
512,2,7,413.312
512,2,8,378.432
512,2,9,373.752
512,2,10,396.081
512,2,11,368.428
512,2,12,379.326
512,2,13,375.989
512,2,14,396.022
512,2,15,356.753
512,2,16,365.281
512,2,17,373.647
512,2,18,394.362
512,2,19,372.854
512,2,20,418.688
512,2,21,377.168
512,2,22,378.622
512,2,23,389.378
512,2,24,448.082
512,2,25,383.145
512,2,26,380.96
512,2,27,403.867
512,2,28,382.279
512,2,29,374.742
512,2,30,367.715
512,2,31,373.751
512,2,32,383.289
512,2,33,373.98
512,2,34,370.331
512,2,35,383.743
512,2,36,372.249
512,2,37,390.149
512,2,38,482.43
512,2,39,390.974
512,2,40,447.059
# avg_ms=387.933575
# std_ms=24.4420425222791
