size,threads,run,time_ms
512,4,1,52.551
512,4,2,51.8
512,4,3,52.545
512,4,4,51.435
512,4,5,53.921
512,4,6,51.783
512,4,7,56.482
512,4,8,53.515
512,4,9,51.764
512,4,10,52.184
512,4,11,55.98
512,4,12,58.175
512,4,13,51.431
512,4,14,55.382
512,4,15,53.856
512,4,16,57.7
512,4,17,47.574
512,4,18,43.827
512,4,19,45.91
512,4,20,46.466
512,4,21,52.656
512,4,22,52.035
512,4,23,56.931
512,4,24,53.061
512,4,25,45.483
512,4,26,56.314
512,4,27,51.241
512,4,28,55.979
512,4,29,52.094
512,4,30,53.705
512,4,31,52.759
512,4,32,49.934
512,4,33,45.766
512,4,34,54.286
512,4,35,53.11
512,4,36,51.294
512,4,37,53.995
512,4,38,51.836
512,4,39,53.9
512,4,40,56.186
# avg_ms=52.42115
# std_ms=3.42661172671212
